序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2556,603680,今创集团,12.41,-0.56,-0.07,27352.0,33971785.0,1.52,12.54,12.35,12.4,12.48,0.83,0.35,13.23,1.74,9725949898.0,9725949898.0,0.0,-0.08,7.82,52.27
2557,600731,湖南海利,7.04,-0.56,-0.04,91100.0,64128253.0,1.27,7.09,7.0,7.08,7.08,0.73,1.63,13.71,1.19,3933546609.0,3928197962.0,0.0,0.0,-2.49,28.0
2558,301173,毓恬冠佳,49.34,-0.56,-0.28,8368.0,41386210.3,2.18,50.18,49.1,49.54,49.62,0.58,4.71,36.59,3.07,4333767650.0,876189983.0,0.12,0.0,5.11,75.59
2559,600234,科新发展,8.8,-0.56,-0.05,42778.0,37946495.0,3.05,8.99,8.72,8.94,8.85,1.13,1.63,50.45,4.7,2310184562.0,2310184562.0,-0.68,-0.34,17.33,58.56
2560,002068,黑猫股份,10.6,-0.56,-0.06,143242.0,152126710.78,1.88,10.75,10.55,10.67,10.66,0.61,1.95,-33.91,2.8,7794659078.0,7791061703.0,-0.09,0.0,3.72,-0.38
2561,000429,粤高速Ａ,10.7,-0.56,-0.06,177127.0,188236010.93,1.95,10.75,10.54,10.74,10.76,1.51,1.36,10.58,2.13,22371625548.0,13945629994.0,0.09,0.0,-16.34,-24.54
2562,600769,祥龙电业,10.71,-0.56,-0.06,42456.0,45485037.0,2.88,10.92,10.61,10.75,10.77,0.47,1.13,140.29,34.24,4016005812.0,4016005812.0,0.37,0.56,2.68,11.45
2563,300414,中光防雷,12.33,-0.56,-0.07,91269.0,113688474.6,3.31,12.69,12.28,12.43,12.4,1.01,2.91,188.22,4.07,4019820016.0,3865807391.0,-0.16,-0.24,-4.34,55.09
2564,601118,海南橡胶,5.3,-0.56,-0.03,267066.0,141283501.0,1.88,5.35,5.25,5.33,5.33,0.68,0.62,-64.42,2.33,22680967324.0,22680967324.0,-0.19,-0.19,12.77,-1.85
2565,300172,中电环保,5.29,-0.56,-0.03,123417.0,65285903.9,1.88,5.35,5.25,5.32,5.32,0.87,2.36,33.19,1.88,3579795900.0,2769380527.0,0.19,0.0,-3.47,5.8
2566,002580,圣阳股份,14.31,-0.56,-0.08,190402.0,273743427.13,2.02,14.52,14.23,14.3,14.39,0.51,4.21,25.08,2.83,6494865290.0,6472968228.0,0.0,0.07,2.36,69.55
