标题,摘要,发布时间,链接
美方称中美有可能开启新一轮经贸谈判？商务部回应,【商务部：用好中美经贸磋商机制 管控分歧、推进合作】商务部1月29日举行例行新闻发布会。有记者问：美国贸易代表日前在达沃斯表示，在可能举行的中美领导人会晤之前，中美双方有机会开启新一轮经贸谈判。请问商务部对此有何评论？,2026-01-29 15:09:32,https://finance.eastmoney.com/a/202601293635169885.html
捅破7000点！标普500指数达成“新成就” 但市场领头羊变了？,【捅破7000点！标普500指数达成“新成就” 但市场领头羊变了？】就在周三开盘后不久，标普500指数就历史上首次突破7000点大关，市场上持续涌现的买盘将这一美国基准股指推向了几十年前投资者几乎无法想象的水平。在美股书写新纪录的同时，市场的领头羊也正在悄然发生着变化。,2026-01-29 15:08:58,https://finance.eastmoney.com/a/202601293635169910.html
微软在法兰克福上市的股票下跌6%,微软公布财报后，其在法兰克福上市的股票下跌6%。,2026-01-29 15:07:00,https://finance.eastmoney.com/a/202601293635169559.html
财政部：12月份全国共销售彩票523.49亿元 下降9.1%,【财政部：12月份全国共销售彩票523.49亿元 下降9.1%】财政部数据显示，12月份，全国共销售彩票523.49亿元，同比减少52.20亿元，下降9.1%。,2026-01-29 15:05:12,https://finance.eastmoney.com/a/202601293635169178.html
市场监管总局：2025年完成经营者集中反垄断审查706件,【市场监管总局：2025年完成经营者集中反垄断审查706件】记者今天（29日）从市场监管总局了解到，2025年，市场监管总局共审结经营者集中706件，比上年增长9.8%，其中无条件批准687件，受理后申报方撤回申报13件，附条件批准5件，禁止1件。2025年，汽车、化学原料、通用设备、医药等高技术制造业领域投资活跃，软件信息技术领域投资持续发力。,2026-01-29 15:03:55,https://finance.eastmoney.com/a/202601293635168441.html
国内商品期货收盘 主力合约大面积飘红,国内商品期货收盘，主力合约大面积飘红。涨幅方面，沪银涨超8%，沪金涨近8%，国际铜涨超7%，沪铜涨超6%，燃油涨超4%，焦煤涨近4%，原油、沥青、焦炭、低硫燃油涨超3%，钯、沪铝、沪锌涨近3%，纯苯、苯乙烯、橡胶、纯碱、20号胶等涨超2%，铂、丁二烯胶、LPG、菜粕涨近2%，沪镍、铁矿石、玻璃、氧化铝、欧线集运等涨超1%；跌幅方面，多晶硅跌超4%，碳酸锂跌超3%，生猪、鸡蛋、PVC、乙二醇小幅下跌。,2026-01-29 15:00:24,https://finance.eastmoney.com/a/202601293635165883.html
A股三大指数涨跌不一 贵金属、采掘与酿酒板块爆发,【收盘播报】沪指涨0.16%，深证成指跌0.30%，创业板指跌0.57%。成交额超3.2万亿，贵金属、采掘、酿酒板块爆发，文化传媒、保险、房地产服务、石油涨幅居前，电子化学品、半导体、电源设备跌幅居前。,2026-01-29 15:00:02,https://finance.eastmoney.com/a/202601293635165781.html
世界黄金协会：波兰央行2025年共增持102吨黄金 连续第二年成全球最大官方黄金买家,【世界黄金协会：波兰央行2025年共增持102吨黄金 连续第二年成全球最大官方黄金买家】世界黄金协会在《全球黄金需求趋势2025年四季度及全年报告》中提到，波兰国家银行连续第二年成为全球最大官方黄金买家，2025年共增持102吨黄金，四季度增持了35吨，黄金储备已增至550吨，黄金占其总外汇储备的比重已升至28%，接近其10月份宣布的将黄金配置从20%上调至30%的目标水平。,2026-01-29 14:59:40,https://finance.eastmoney.com/a/202601293635165451.html
印度经济调查预计2027财年GDP增速将在6.8%-7.2%区间,【印度经济调查预计2027财年GDP增速将在6.8%-7.2%区间】据外媒报道，印度经济调查预计2027财年GDP增速将在6.8%-7.2%区间。,2026-01-29 14:58:21,https://finance.eastmoney.com/a/202601293635164696.html
白酒板块集体走强 酒ETF（512690）涨停,白酒板块集体走强，酒ETF（512690）涨停。,2026-01-29 14:57:13,https://finance.eastmoney.com/a/202601293635164450.html
