序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3310,688676,金盘科技,101.72,-0.07,-0.07,159813.0,1598817291.0,4.57,102.35,97.7,98.9,101.79,0.57,3.48,72.23,9.92,46769265506.0,46769265506.0,0.02,0.16,50.7,12.6
3311,603165,荣晟环保,14.98,-0.07,-0.01,65147.0,96752270.0,3.87,15.08,14.5,14.91,14.99,0.9,2.47,17.35,1.95,3953642414.0,3953642414.0,0.0,0.0,13.06,18.42
3312,603970,中农立华,13.54,-0.07,-0.01,20820.0,28159407.0,1.25,13.59,13.42,13.54,13.55,0.62,0.77,18.05,2.35,3639553814.0,3639553814.0,0.0,0.0,-1.81,5.29
3313,600511,国药股份,28.98,-0.07,-0.02,38711.0,111978693.0,0.55,29.02,28.86,28.99,29.0,0.74,0.7,10.99,1.21,21865496882.0,16035979368.0,0.17,0.21,-2.26,0.8
3314,300975,商络电子,14.14,-0.07,-0.01,365604.0,518823916.65,3.39,14.43,13.95,14.0,14.15,1.02,7.43,51.54,4.26,9714259241.0,6957916306.0,0.07,0.14,-0.77,11.43
3315,603218,日月股份,13.8,-0.07,-0.01,112876.0,156464965.0,1.52,13.95,13.74,13.78,13.81,0.92,1.1,24.55,1.39,14218709250.0,14186900250.0,0.07,0.15,-5.15,4.15
3316,300943,春晖智控,27.2,-0.07,-0.02,252493.0,679210824.61,10.03,28.31,25.58,26.42,27.22,0.93,18.8,102.49,5.6,5543904000.0,3654055806.0,-0.44,-0.55,53.67,30.9
3317,002973,侨银股份,15.14,-0.07,-0.01,80777.0,123664370.0,6.14,15.88,14.95,15.06,15.15,1.14,2.59,30.9,2.46,6187198289.0,4716600551.0,-0.07,-0.07,-6.89,10.75
3318,300718,长盛轴承,84.09,-0.07,-0.06,56551.0,476684137.19,2.59,85.28,83.1,83.1,84.15,0.6,2.92,100.34,15.0,25124328633.0,16300176555.0,0.01,-0.04,-4.12,-1.49
3319,300808,久量股份,27.8,-0.07,-0.02,19217.0,53442026.0,2.59,28.13,27.41,27.65,27.82,0.74,1.62,-70.17,4.59,4448000000.0,3305408268.0,0.0,0.29,-5.54,-7.55
3320,603767,中马传动,23.81,-0.08,-0.02,83295.0,196849780.0,4.66,24.03,22.92,23.6,23.83,0.75,2.7,217.99,5.29,7348516015.0,7348516015.0,0.0,0.04,-6.48,-1.0
3321,600833,第一医药,13.25,-0.08,-0.01,28032.0,36985706.0,1.21,13.27,13.11,13.21,13.26,0.6,1.26,41.62,2.55,2955894098.0,2955894098.0,0.0,0.15,-3.36,2.47
3322,000028,国药一致,25.12,-0.08,-0.02,31147.0,78183583.92,0.76,25.2,25.01,25.12,25.14,0.87,0.65,10.96,0.76,13980914734.0,12008709245.0,-0.04,0.0,-1.53,2.28
3323,920149,旭杰科技,12.47,-0.08,-0.01,8919.0,11159146.66,2.0,12.62,12.37,12.45,12.48,0.74,1.41,-141.18,6.11,953745255.0,788702597.0,0.0,0.24,-10.86,7.78
3324,300508,维宏股份,39.91,-0.08,-0.03,30527.0,121079901.69,3.66,40.36,38.9,39.0,39.94,0.52,3.73,43.59,5.13,4342021620.0,3270323499.0,0.08,-0.05,23.33,8.16
3325,688579,山大地纬,12.35,-0.08,-0.01,44495.0,55076804.0,2.59,12.52,12.2,12.33,12.36,0.42,1.11,117.56,3.58,4940123500.0,4940123500.0,0.16,0.16,6.1,14.56
3326,002530,金财互联,10.67,-0.09,-0.01,197863.0,211209684.76,2.43,10.76,10.5,10.6,10.68,0.44,2.85,108.4,6.28,8314044527.0,7416965974.0,0.09,0.0,-4.82,-1.02
3327,002116,中国海诚,10.8,-0.09,-0.01,63957.0,69025597.48,1.48,10.88,10.72,10.75,10.81,0.92,1.39,16.06,1.9,5030575729.0,4975559579.0,0.0,-0.09,2.66,5.06
