日期,样本代码,样本简称,所属行业,总市值(亿元),权重（%）
2026-01-30,717,中南股份,原材料,63.75,0.01
2026-01-30,718,苏宁环球,房地产,71.01,0.01
2026-01-30,721,西安饮食,可选消费,53.14,0.01
2026-01-30,722,湖南发展,公用事业,60.71,0.01
2026-01-30,723,美锦能源,能源,222.82,0.03
2026-01-30,2270,华明装备,工业,266.9,0.03
2026-01-30,2271,东方雨虹,原材料,412.77,0.06
2026-01-30,2272,川润股份,工业,71.33,0.01
2026-01-30,2273,水晶光电,信息技术,331.39,0.05
2026-01-30,2275,桂林三金,医药卫生,85.43,0.0
2026-01-30,2276,万马股份,工业,168.34,0.02
2026-01-30,2277,友阿股份,可选消费,101.08,0.01
2026-01-30,2278,神开股份,能源,50.7,0.01
2026-01-30,2282,博深股份,工业,40.67,0.01
2026-01-30,2283,天润工业,可选消费,84.32,0.01
2026-01-30,2284,亚太股份,可选消费,125.28,0.01
2026-01-30,2285,世联行,房地产,54.01,0.01
2026-01-30,2287,奇正藏药,医药卫生,136.97,0.0
2026-01-30,2292,奥飞娱乐,可选消费,138.55,0.02
2026-01-30,2293,罗莱生活,可选消费,87.14,0.01
2026-01-30,2294,信立泰,医药卫生,522.96,0.04
2026-01-30,2295,精艺股份,原材料,29.07,0.0
2026-01-30,2299,圣农发展,主要消费,214.06,0.02
2026-01-30,2300,太阳电缆,工业,61.25,0.01
2026-01-30,2301,齐心集团,工业,56.26,0.01
2026-01-30,2302,西部建设,原材料,76.5,0.01
2026-01-30,725,京东方Ａ,信息技术,1588.56,0.26
2026-01-30,726,鲁  泰Ａ,可选消费,46.05,0.01
2026-01-30,728,国元证券,金融,364.38,0.04
2026-01-30,731,四川美丰,原材料,38.97,0.01
2026-01-30,735,罗 牛 山,主要消费,97.3,0.01
2026-01-30,738,航发控制,工业,321.3,0.03
2026-01-30,739,普洛药业,医药卫生,212.69,0.02
2026-01-30,750,国海证券,金融,272.05,0.03
2026-01-30,751,锌业股份,原材料,111.16,0.01
2026-01-30,753,漳州发展,可选消费,71.88,0.01
2026-01-30,758,中色股份,原材料,157.64,0.02
2026-01-30,759,中百集团,主要消费,47.96,0.01
2026-01-30,761,本钢板材,原材料,133.87,0.0
2026-01-30,762,西藏矿业,原材料,140.57,0.02
2026-01-30,767,晋控电力,公用事业,92.92,0.01
2026-01-30,768,中航西飞,工业,785.67,0.07
2026-01-30,777,中核科技,工业,95.01,0.01
2026-01-30,778,新兴铸管,原材料,200.14,0.02
2026-01-30,782,恒申新材,原材料,40.44,0.01
2026-01-30,783,长江证券,金融,478.9,0.05
2026-01-30,2410,广联达,信息技术,227.31,0.03
2026-01-30,2412,汉森制药,医药卫生,33.92,0.0
2026-01-30,2413,雷科防务,工业,175.87,0.03
2026-01-30,2414,高德红外,信息技术,708.52,0.05
2026-01-30,2415,海康威视,信息技术,2871.35,0.21
2026-01-30,2416,爱施德,可选消费,158.63,0.02
2026-01-30,2419,天虹股份,可选消费,66.97,0.01
2026-01-30,2420,毅昌科技,可选消费,32.53,0.0
2026-01-30,2421,达实智能,信息技术,60.44,0.01
2026-01-30,2422,科伦药业,医药卫生,494.6,0.07
2026-01-30,2423,中粮资本,金融,261.29,0.02
