,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
汽车,摩托车及其他,摩托车,8.0,202.87,172.26,30.31,53.77,159.6,329.6,471.55
汽车,汽车服务,汽车经销商,5.0,53.61,25.54,36.93,37.37,41.9,54.31,97.53
汽车,汽车服务,汽车综合服务,5.0,87.98,61.82,27.59,50.45,81.77,91.22,188.88
汽车,汽车零部件,其他汽车零部件,53.0,79.23,69.69,17.54,34.89,57.16,81.82,382.26
汽车,汽车零部件,底盘与发动机系统,90.0,138.03,263.09,23.36,46.26,70.62,123.88,2118.27
汽车,汽车零部件,汽车电子电气系统,36.0,130.8,131.76,25.78,52.44,84.24,148.57,633.18
汽车,汽车零部件,车身附件及饰件,36.0,157.57,270.22,25.78,46.82,67.0,148.4,1578.89
汽车,汽车零部件,轮胎轮毂,21.0,140.48,141.77,25.56,50.52,78.04,161.04,526.1
煤炭,焦炭Ⅱ,焦炭Ⅲ,7.0,87.44,58.47,37.76,52.44,63.41,99.52,206.96
煤炭,煤炭开采,动力煤,18.0,863.92,1849.27,51.78,108.41,195.58,543.57,7867.93
煤炭,煤炭开采,焦煤,12.0,216.42,128.95,49.31,93.07,194.22,336.2,379.91
环保,环保设备Ⅱ,环保设备Ⅲ,27.0,56.22,52.76,19.43,27.07,38.12,61.46,226.07
环保,环境治理,固废治理,34.0,104.29,89.26,21.5,43.95,78.91,133.43,455.07
环保,环境治理,大气治理,6.0,128.43,227.39,23.93,31.08,36.95,47.79,592.2
环保,环境治理,水务及水治理,51.0,62.86,53.95,11.9,27.26,43.03,62.42,226.09
环保,环境治理,综合环境治理,15.0,46.4,30.82,14.5,28.32,35.33,59.72,116.11
电力设备,光伏设备,光伏加工设备,10.0,368.38,280.83,70.23,158.95,311.25,464.42,936.01
电力设备,光伏设备,光伏电池组件,21.0,276.02,324.02,20.32,53.83,201.25,343.08,1407.25
电力设备,光伏设备,光伏辅材,17.0,129.37,136.94,32.93,51.5,56.83,180.1,487.83
电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,24.0,174.3,181.51,25.1,48.5,117.48,207.98,679.35
电力设备,其他电源设备Ⅱ,火电设备,3.0,93.11,61.86,26.92,64.94,102.95,126.21,149.47
电力设备,电机Ⅱ,电机Ⅲ,25.0,126.03,146.68,26.49,36.04,74.3,156.81,692.02
电力设备,电池,电池化学品,42.0,212.37,185.81,15.92,75.59,158.61,291.98,829.62
电力设备,电池,蓄电池及其他电池,9.0,107.09,94.38,21.02,56.5,77.15,135.92,330.51
电力设备,电池,锂电专用设备,17.0,142.01,212.07,22.41,44.79,94.06,143.04,938.44
电力设备,电池,锂电池,26.0,825.38,3081.87,24.99,75.19,163.06,253.32,15877.93
电力设备,电网设备,电工仪器仪表,12.0,70.37,52.77,24.2,32.09,53.58,79.68,193.63
电力设备,电网设备,电网自动化设备,25.0,201.49,407.67,20.45,61.25,81.68,135.01,2083.44
电力设备,电网设备,线缆部件及其他,35.0,106.67,85.24,22.19,52.01,74.32,133.64,380.72
电力设备,电网设备,输变电设备,26.0,255.02,410.47,35.08,57.46,71.24,288.24,1558.27
电力设备,电网设备,配电设备,25.0,92.62,135.02,22.06,41.3,45.64,79.73,664.25
电力设备,风电设备,风电零部件,24.0,118.09,87.92,25.26,52.61,95.94,159.92,404.33
电子,元件,印制电路板,42.0,371.77,554.79,27.2,60.73,102.58,442.62,2308.6
电子,元件,被动元件,15.0,180.73,230.07,20.47,67.46,94.72,236.47,949.24
电子,光学光电子,LED,30.0,104.45,150.52,19.09,45.82,57.72,97.39,809.22
电子,光学光电子,光学元件,25.0,133.87,114.27,13.84,50.0,92.71,197.18,371.14
电子,光学光电子,面板,37.0,159.72,293.28,32.39,44.11,64.77,126.68,1596.61
电子,其他电子Ⅱ,其他电子Ⅲ,33.0,130.36,129.38,22.73,58.68,99.54,165.18,713.74
电子,半导体,分立器件,18.0,248.08,206.93,29.92,85.13,212.46,393.04,690.16
电子,半导体,半导体材料,23.0,242.09,243.74,39.05,95.42,161.79,259.51,1040.54
电子,半导体,半导体设备,23.0,576.51,780.71,49.56,126.93,297.2,705.89,3426.7
电子,半导体,数字芯片设计,51.0,699.72,1116.76,36.46,118.7,300.69,658.68,5845.71
电子,半导体,模拟芯片设计,35.0,158.26,125.68,28.89,58.84,109.14,240.74,443.76
电子,半导体,集成电路封测,12.0,274.91,276.05,32.92,94.19,179.12,270.72,853.37
电子,消费电子,品牌消费电子,10.0,298.02,297.98,31.83,77.91,187.39,470.06,879.43
电子,消费电子,消费电子零部件及组装,80.0,370.24,1313.47,31.42,43.62,81.78,157.46,11070.94
电子,电子化学品Ⅱ,电子化学品Ⅲ,34.0,146.94,105.73,50.9,73.27,106.22,181.84,447.92
石油石化,油服工程,油气及炼化工程,6.0,127.61,99.95,45.81,56.67,82.35,185.99,286.5
石油石化,油服工程,油田服务,7.0,275.67,294.64,24.69,25.26,139.12,486.45,742.46
石油石化,炼化及贸易,其他石化,14.0,88.93,125.81,23.91,34.74,43.96,62.66,503.81
石油石化,炼化及贸易,油品石化贸易,6.0,106.81,117.35,37.26,59.46,65.64,68.73,345.17
石油石化,炼化及贸易,炼油化工,10.0,3166.02,6064.08,31.39,150.59,623.42,1654.96,19162.3
社会服务,专业服务,会展服务,3.0,62.73,25.65,42.47,48.3,54.14,72.85,91.57
社会服务,专业服务,检测服务,20.0,80.38,53.52,23.37,50.42,71.23,90.26,266.22
社会服务,教育,培训教育,11.0,54.0,44.15,14.7,29.1,46.64,56.96,177.62
社会服务,旅游及景区,人工景区,5.0,87.06,81.47,27.04,52.75,53.22,72.38,229.92
社会服务,旅游及景区,旅游综合,6.0,78.75,31.97,24.08,69.56,82.45,96.56,117.01
社会服务,旅游及景区,自然景区,13.0,59.87,25.71,28.46,37.47,58.54,70.65,115.7
社会服务,酒店餐饮,酒店,5.0,121.07,111.38,32.53,38.82,59.4,191.5,283.1
纺织服饰,服装家纺,家纺,6.0,59.04,23.65,33.5,40.64,55.13,76.25,91.38
纺织服饰,服装家纺,非运动服装,38.0,63.91,67.36,17.04,28.19,40.41,68.66,333.35
纺织服饰,服装家纺,鞋帽及其他,11.0,41.84,17.82,18.02,31.62,40.02,47.72,82.6
